nohup: 忽略输入
2023-08-26 20:01:49.166119: I tensorflow/core/platform/cpu_feature_guard.cc:182] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2023-08-26 20:01:49.625335: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
/home/yanglj/Desktop/restoration/ECSC-Net/core/ECSCNet.py:53: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  z = F.conv2d(z, D, stride=stride)
Iter 12.153K-> avg_loss: 0.0026, avg_psnr: 26.8675, cur_loss: 0.0017, cur_psnr: 27.7944, LR= 1.40000e-04, index: [3770],
Iter 12.353K-> avg_loss: 0.0026, avg_psnr: 26.8541, cur_loss: 0.0005, cur_psnr: 32.6402, LR= 1.40000e-04, index: [1426],
Iter 12.553K-> avg_loss: 0.0026, avg_psnr: 26.8537, cur_loss: 0.0014, cur_psnr: 28.5520, LR= 1.40000e-04, index: [1859],
Iter 12.753K-> avg_loss: 0.0026, avg_psnr: 26.8328, cur_loss: 0.0018, cur_psnr: 27.3832, LR= 1.40000e-04, index: [4899],
Iter 12.953K-> avg_loss: 0.0026, avg_psnr: 26.8821, cur_loss: 0.0003, cur_psnr: 35.9053, LR= 1.40000e-04, index: [3280],
Iter 13.153K-> avg_loss: 0.0026, avg_psnr: 26.8762, cur_loss: 0.0009, cur_psnr: 30.4836, LR= 1.40000e-04, index: [3732],
Iter 13.353K-> avg_loss: 0.0026, avg_psnr: 26.9071, cur_loss: 0.0015, cur_psnr: 28.1538, LR= 1.40000e-04, index: [3079],
Iter 13.553K-> avg_loss: 0.0026, avg_psnr: 26.8985, cur_loss: 0.0008, cur_psnr: 30.8329, LR= 1.40000e-04, index: [1974],
Iter 13.753K-> avg_loss: 0.0026, avg_psnr: 26.8942, cur_loss: 0.0006, cur_psnr: 31.9281, LR= 1.40000e-04, index: [2697],
Iter 13.953K-> avg_loss: 0.0026, avg_psnr: 26.8709, cur_loss: 0.0018, cur_psnr: 27.5627, LR= 1.40000e-04, index: [2632],
Iter 14.153K-> avg_loss: 0.0026, avg_psnr: 26.8703, cur_loss: 0.0021, cur_psnr: 26.8447, LR= 1.40000e-04, index: [4045],
Iter 14.353K-> avg_loss: 0.0026, avg_psnr: 26.8688, cur_loss: 0.0016, cur_psnr: 27.9922, LR= 1.40000e-04, index: [1470],
Iter 14.553K-> avg_loss: 0.0026, avg_psnr: 26.8727, cur_loss: 0.0012, cur_psnr: 29.2895, LR= 1.40000e-04, index: [2228],
Iter 14.753K-> avg_loss: 0.0026, avg_psnr: 26.8870, cur_loss: 0.0006, cur_psnr: 32.0697, LR= 1.40000e-04, index: [1446],
Iter 14.953K-> avg_loss: 0.0026, avg_psnr: 26.8859, cur_loss: 0.0024, cur_psnr: 26.2326, LR= 1.40000e-04, index: [3657],
Iter 15.153K-> avg_loss: 0.0026, avg_psnr: 26.8949, cur_loss: 0.0018, cur_psnr: 27.3510, LR= 1.40000e-04, index: [2159],
Iter 15.353K-> avg_loss: 0.0026, avg_psnr: 26.9043, cur_loss: 0.0060, cur_psnr: 22.1872, LR= 1.40000e-04, index: [269],
training epoch    3 consumed time : 3.62min
test-> epoch:    3, avg_loss: 0.0031, avg_psnr: 25.8857, Time consumed:0.12min
-----------------------------------------------------------

